row,DOI,H_S,H_R,H_M,AI_GPT-5 Full,CONF_GPT-5 Full,REASON_GPT-5 Full,AI_GPT-5 mini,CONF_GPT-5 mini,REASON_GPT-5 mini,AI_Gemini Pro,CONF_Gemini Pro,REASON_Gemini Pro,AI_Gemini 2.5 Flash,CONF_Gemini 2.5 Flash,REASON_Gemini 2.5 Flash,reason_excl_R,benchmark,tier,n_labels,top_n
1700,,,Not Related,Not Related,Not Related,0.9,"The abstract focuses on data interoperability and an object-oriented project model (PMAPM) to link CAD, relational databases, and other applications across the A/E/C lifecycle. AI/ML is only mentioned peripherally via “knowledge-based systems” as one component among many, with no development, adoption, performance, or economic analysis of AI in construction.",Uncertain,0.8,"The abstract focuses on an object-oriented project model for data exchange/integration across CAD, relational databases and applications in the A/E/C industry. It mentions linking to ‘knowledge-based systems’ but provides no details about AI/ML methods, algorithms, or intended intelligent behavior. Because AI is only implied vaguely and the main contribution is data modeling and interoperability, relevance to AI/ML in construction is unclear.",Not Related,5.0,"The abstract focuses on developing an 'object-oriented project model (PMAPM)' for data integration and does not substantially address AI or ML. While it mentions linking 'knowledge-based systems,' this is presented as a peripheral component alongside conventional tools like 'CAD systems' and 'relational database,' not as the core of the research.",Uncertain,0.8,"The abstract mentions 'knowledge-based systems' as one type of conventional application software intended to be linked by the proposed object-oriented project model (PMAPM). While knowledge-based systems can be a form of AI, the abstract does not provide any further details on the AI/ML aspects within these systems or how they specifically relate to the core contribution of the research (PMAPM for data exchange and integration). The primary focus is on object-oriented modeling and data sharing standards, making the relevance of AI/ML to the paper's main subject unclear due to insufficient implementation details regarding AI.",,Not Related,Majority 2-0,2,2
1701,,,Not Related,Not Related,AI Development and Methods,0.86,"Mentions a “Knowledge Engineering Computer System” built to augment project control by diagnosing delay causes and recommending actions—i.e., an expert/AI system tailored to construction project management methods, indicating development of an AI approach for a construction-related problem.",AI Development and Methods,0.9,"Abstract describes development of a 'Knowledge Engineering Computer System' that augments project control systems to determine causes of delays and suggest alternative actions—i.e., designing/applying an AI/knowledge-engineering approach for construction project management rather than studying adoption, benchmarking, or economic impacts.",AI Development and Methods,4.5,"The abstract focuses on the development of a 'Knowledge Engineering Computer System,' which is a classic AI approach (specifically, an expert system). The system is designed for a specific construction management task: 'determining possible causes for delays and suggesting alternative courses of action,' which represents the creation of a tailored AI method.",AI Development and Methods,0.9,"The abstract describes the development of a 'Knowledge Engineering Computer System' specifically designed to augment project control systems by 'determining possible causes for delays and suggesting alternative courses of action'. Knowledge Engineering is an AI methodology, and tailoring this system for construction project management problems aligns with designing or adapting AI approaches for construction-related applications.",,Not Related,Majority 2-0,2,2
1702,,,,,Uncertain,0.61,"The abstract is for a proceedings volume listing multiple topics (e.g., “artificial intelligence in building engineering,” “robotics in building and public works”), but provides no details about specific AI methods, adoption factors, performance benchmarking, or economic analyses. AI is mentioned as a topic within construction, yet the lack of implementation or focus makes its relevance to any specific AI category unclear.",Uncertain,0.7,"The abstract is a symposium proceedings summary listing diverse topics including 'artificial intelligence in building engineering' and 'intelligent building development project', but provides no details on AI/ML methods, implementation, evaluation, adoption factors, or economic impacts. The broad, high-level listing makes the AI relevance and focus unclear.",Uncertain,4.5,"The abstract is a list of topics from a collection of 26 symposium papers, not a summary of a single research study. While it explicitly mentions 'artificial intelligence in building engineering' and 'intelligent building development project', it provides no details about the methods, adoption factors, performance, or economic impact, making it impossible to classify into a more specific category.",AI Development and Methods,0.85,"The abstract explicitly lists 'artificial intelligence in building engineering' as one of the symposium papers' topics. This indicates a focus on applying or advancing AI/ML algorithms within a construction-related problem domain (building engineering), aligning with the description for 'AI Development and Methods'.",,,No label,0,0
1703,,AI Adoption Factors,Not Related,Not Related,AI Development and Methods,0.9,"Discusses building and integrating expert systems for construction, including use of commercial expert system shells, stand-alone consultative expert systems (e.g., Welding Procedure Selection Advisor, Weld Defect Diagnosis), and integrated design/database/expert system environments to improve design and construction processes—focusing on technical development and integration methods rather than adoption, evaluation, or economics.",AI Development and Methods,0.95,"The abstract focuses on the design and application of expert systems in construction (mentions 'expert systems', 'commercial expert system shells', 'knowledge base', 'stand-alone expert systems', and 'integrated design/database/expert system applications'), indicating work on developing/adapting AI methods and integration for construction tasks rather than adoption barriers, benchmarking, or economic impacts.",AI Development and Methods,5.0,"The abstract focuses on the methods for developing and applying expert systems in construction. It discusses the use of 'commercial expert system shells' to focus on the 'knowledge base', and contrasts two types of applications: 'Stand-alone expert systems' and 'integrated design/database/expert system applications'. This describes the computational approaches for creating AI tools for construction.",AI Development and Methods,0.9,"The abstract focuses on the 'application of expert systems' in construction, describing how they function (using 'commercial expert system shells' and a 'knowledge base') and providing examples of specific applications like the 'Welding Procedure Selection Advisor' and 'Weld Defect Diagnosis expert system.' This aligns with designing, adapting, or advancing AI/ML algorithms tailored to construction problems.",,Not Related,Majority 2-1,3,2
1704,10.1007/BF01198144,AI Adoption Factors,AI Adoption Factors,AI Adoption Factors,AI Adoption Factors,0.84,"The paper surveys automation/AI in construction and explicitly examines “the benefits from the increased use of information technology and automation in construction” and “the institutional barriers to the development and introduction of this technology by the U.S. construction industry,” as well as needed technologies for implementation. It focuses on enablers and challenges of adoption rather than developing specific AI methods or benchmarking performance.",AI Adoption Factors,0.88,"The abstract focuses on benefits, institutional barriers, and required technologies for deploying automation/AI and robotics in construction (mentions 'benefits from the increased use of information technology and automation', 'institutional barriers to the development and introduction of this technology', and 'technologies that need to be developed to implement...computer technology in construction'), indicating an examination of factors influencing AI/automation adoption rather than development of new algorithms or performance benchmarking.",AI Adoption Factors,4.5,"The abstract explicitly states its purpose is to examine the 'benefits from the increased use of information technology and automation in construction', 'the institutional barriers to the development and introduction of this technology', and 'the technologies that need to be developed in order to implement successfully'. These are all core themes related to the factors influencing AI adoption.",AI Adoption Factors,0.9,"The abstract explicitly discusses 'the benefits from the increased use of information technology and automation in construction' and 'the institutional barriers to the development and introduction of this technology by the U.S. construction industry', which aligns directly with exploring factors influencing AI/ML adoption, including challenges and benefits/enablers.",,AI Adoption Factors,Majority 3-0,3,3
1705,10.1061/(ASCE)0733-9364(1985)111:3(293),AI Adoption Factors,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.86,"The abstract discusses knowledge-based expert systems (originating from AI) for construction project monitoring and control, highlighting their ability to handle ill-structured problems and providing sample applications with heuristic rules in scheduling and inventory control. This focuses on AI methods tailored to construction problems rather than adoption, evaluation, or economic impacts.",AI Development and Methods,0.9,"The abstract discusses knowledge-based expert systems (AI) applied to construction project monitoring and control, including sample applications and heuristic rules for scheduling and inventory control. It focuses on applying and adapting AI techniques to construction-specific problems (ill-structured problems, heuristic rules), which aligns with development/adaptation of AI methods rather than adoption, benchmarking, or economic analysis.",AI Development and Methods,5.0,"The abstract focuses on describing the application and methods of a specific AI technology, 'knowledge based expert systems,' for construction tasks. It explicitly mentions that these systems are developed from 'research in artificial intelligence' and provides 'sample applications and heuristic rules in scheduling and inventory control,' which details the computational approach rather than its economic impact, adoption factors, or performance evaluation.",AI Development and Methods,0.95,"The abstract describes 'potential applications of knowledge based expert systems' for 'construction project monitoring and control,' providing 'sample applications and heuristic rules in scheduling and inventory control.' This indicates a focus on designing and adapting AI algorithms and computational approaches (expert systems and their heuristic rules) to solve specific construction-related problems.",,AI Development and Methods,Majority 2-1,3,2
1706,,AI Adoption Factors,Not Related,Uncertain,AI Development and Methods,0.72,"The abstract explicitly motivates and supports the development of AI (knowledge-based) systems for construction estimating. It focuses on understanding estimators’ decision-making via Protocol Analysis to enable production of such systems, detailing experimental results and methodology. These cues—“knowledge based systems to assist construction estimators,” “to enable such systems to be produced,” and the methodological review of decision processes—align with AI methods tailored to a construction problem rather than adoption, performance benchmarking, or economics.",AI Development and Methods,0.88,Abstract explicitly discusses enabling 'knowledge based systems to assist construction estimators' and the need to 'understand the estimator's decision making processes.' It describes using Protocol Analysis to model decision making during estimating/tendering and experimental results to inform system development—indicating focus on designing/adapting AI/knowledge-based approaches for construction tasks.,AI Development and Methods,4.5,"The abstract focuses on a methodology, 'Protocol Analysis,' used to understand and model 'the estimator's decision making processes.' This is a critical knowledge acquisition step for the stated goal of producing 'knowledge based systems' (a type of AI) to assist with construction cost estimates. Therefore, the paper is centered on the method of developing an AI system.",Not Related,0.9,"The abstract mentions 'knowledge based systems' as a future need, but the core focus of the paper is on understanding human 'estimator's decision making processes' through 'Protocol Analysis'. The paper describes a method for analyzing human cognition, not the development, application, or evaluation of an AI/ML system itself. AI is only peripherally mentioned as a potential outcome of this human-centric research.",,,Conflict (no majority),3,1
1707,,AI Adoption Factors,Not Related,Not Related,AI Development and Methods,0.81,"The abstract discusses “cost engineering expert systems” for “risk analysis and overrun risks” and outlines “a six-step process for developing an expert system,” indicating a methodological focus on designing AI (expert systems) tailored to construction cost/risk problems, which fits AI Development and Methods.",AI Development and Methods,0.92,"Abstract describes development of cost-engineering expert systems (AI) and a six-step process for developing an expert system, using two programs for risk analysis/overrun risks as examples — indicating focus on designing and documenting AI/ML system development rather than adoption, evaluation, or economic impacts.",AI Development and Methods,5.0,"The abstract explicitly states that the article 'describes a six-step process for developing an expert system,' which directly pertains to the methodology and development of an AI application for a construction-related problem (cost engineering and risk analysis).",AI Development and Methods,0.95,"The abstract discusses 'expert systems' in 'cost engineering' for 'risk analysis and overrun risks,' which are construction-related problems. It details a 'six-step process for developing an expert system,' directly aligning with 'designing, adapting, or advancing AI/ML algorithms or computational approaches tailored to construction-related problems'.",,Not Related,Majority 2-1,3,2
1708,,Not Related,Not Related,Not Related,Not Related,0.96,"The abstract discusses macro-engineering project size, economies of scale, organizational complexity, environmental regulations, construction periods, and operational risks. It does not mention AI/ML, algorithmic methods, adoption, performance evaluation, or economic impacts of AI in construction.",Not Related,0.95,"Abstract discusses macro-engineering, economies of scale, and risks of very large construction projects (organizational complexity, environmental regulations, longer construction period, startup, maintenance, safety). It contains no mention of AI/ML methods, adoption, evaluation, or economic impacts of AI, so it is not related to AI in construction.",Not Related,5.0,"The abstract focuses on the trend of 'MACRO-Engineering' and the risks associated with large-scale projects, such as 'organizational complexity' and 'longer construction period'. There is no mention of artificial intelligence, machine learning, or any related technologies or methods.",Not Related,1.0,"The abstract discusses the challenges and risks associated with 'MACRO-Engineering' and large-scale construction projects, such as 'organizational complexity' and 'longer construction period'. There is no mention of AI or ML applications in construction; thus, it is not related to any AI category.",,Not Related,Majority 3-0,3,3
1709,,AI Development and Methods,Not Related,Not Related,Not Related,0.9,"The abstract focuses on range estimating (REP) as a computerized method for cost risk analysis in project control, discussing procedures, output evaluation, and performance summaries. It does not mention AI/ML methods or applications (e.g., machine learning models, neural networks, AI-based decision systems) in a construction context; the focus is general cost analysis and risk assessment rather than AI.",Not Related,0.9,"The abstract describes range estimating (REP) as a computerized method for cost analysis and risk/opportunity evaluation in project estimating, with discussion of procedures and performance summaries. It does not mention AI or machine learning methods, algorithms, model training, or evaluation of AI systems, so it does not substantially address AI/ML in construction.",Not Related,5.0,"The abstract discusses 'range estimating (REP)', described as a 'scientific computerized method' and 'computer software programs' for cost analysis. There is no mention of artificial intelligence, machine learning, or any specific AI/ML algorithms. The subject matter is a computational method, but not explicitly an AI-based one.",Not Related,1.0,"The abstract focuses on 'range estimating (REP),' a 'scientific computerized method' for cost analysis and risk evaluation, but it does not mention Artificial Intelligence or Machine Learning concepts, algorithms, or applications.",,Not Related,Majority 2-1,3,2
1710,,,,,AI Development and Methods,0.63,"The abstract highlights expert systems (an AI approach) applied to construction-related domains such as structural analysis and design and construction scheduling. These cues indicate a focus on AI/ML methods tailored to construction problems, even though the volume also includes broader computing topics (GIS, databases, parallel computation).",Uncertain,0.78,"The abstract describes a proceedings volume covering many topics, including 'expert systems in structural analysis and design' and 'in construction scheduling', as well as GIS, software evaluation, computational techniques, etc. It lists AI-related topics (expert systems) but provides no specific paper focus, methods, or implementation details, making the relevance to AI/ML in construction unclear.",AI Development and Methods,5.0,"The abstract explicitly states that the volume contains papers on 'expert systems in structural analysis and design' and 'in construction scheduling'. Expert systems are a form of AI, and their application to these core construction tasks falls directly under the category of AI Development and Methods.",AI Development and Methods,0.9,"The abstract explicitly mentions 'expert systems in structural analysis and design' and 'in construction scheduling', which indicates a focus on the design, adaptation, or application of AI algorithms (expert systems) tailored to specific construction-related problems like design optimization and scheduling.",,,No label,0,0
1711,,AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.9,"The abstract details the design and implementation of a knowledge-based expert system (CONSITE) for the construction site layout problem, describing AI methods (rules, frames, object-oriented techniques, knowledge base of heuristics) tailored to a construction application. This focuses on developing an AI system and approach specific to construction rather than adoption, performance benchmarking, or economic impacts.",AI Development and Methods,0.92,"Abstract describes development of a knowledge-based expert system (CONSITE) for construction site layout, detailing implementation choices (rules, frames, object-oriented techniques, KEE) and encoding expert heuristics/judgment to solve a construction-specific spatial optimization problem — i.e., designing an AI/knowledge-engineering method for a construction task.",AI Development and Methods,5.0,"The abstract explicitly introduces a 'knowledge-based expert system approach' for the construction site layout problem. It details the development of a prototype system named CONSITE and describes the specific AI techniques used for knowledge representation, such as 'Rules, frames, and Object-Oriented programming techniques'. This focus on the design and methodology of a new AI system for a construction task is the core of the AI Development and Methods category.",AI Development and Methods,0.9,"The abstract focuses on the introduction and development of a 'knowledge-based expert system approach' called CONSITE for the 'construction site layout problem'. It details the system's design, including 'heuristic, judgment, and experience of experts in its knowledge base' and the use of 'Rules, frames, and Object-Oriented programming techniques', which aligns with designing or advancing AI algorithms tailored to a construction problem.",,AI Development and Methods,Majority 3-0,3,3
1712,10.1061/(ASCE)0733-9364(1988)114:3(426),AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.86,"The paper develops a knowledge-based (expert) system for selecting earthmoving equipment in road construction, detailing knowledge acquisition methods, representation for computer manipulation, and evaluation of different expert-system shells. While testing is mentioned, the core focus is on building and structuring the AI system tailored to a construction task.",AI Development and Methods,0.95,"Abstract describes development of a knowledge-based (expert) system for selecting earthmoving equipment in road construction, details on knowledge acquisition techniques, evaluation of expert-system shells (user-friendliness, hardware/software, price), and testing/validation with practitioners and novices — all focused on designing and implementing an AI system tailored to a construction problem.",AI Development and Methods,5.0,"The abstract focuses on the 'development of a system' for equipment selection. It details the methods used, including 'knowledge acquisition techniques' from experts and how to interpret this information 'into a form capable of being manipulated by computer program'. This aligns directly with designing and adapting an AI approach for a specific construction problem.",AI Development and Methods,0.9,"The abstract primarily focuses on 'describes the development of a system' for earthmoving equipment selection and the 'development of the appropriate knowledge acquisition techniques'. It details the methods for interpreting information into a computer program and the evaluation of system shells, all of which align with designing and advancing AI/ML algorithms and computational approaches tailored to construction problems. While it mentions testing, the core emphasis is on the system's creation and methodology.",,AI Development and Methods,Majority 3-0,3,3
1713,10.1061/(ASCE)0887-3801(1987)1:4(303),AI Adoption Factors,Not Related,Not Related,AI Adoption Factors,0.73,"The abstract discusses knowledge-based expert systems in construction, noting “few successes to date” but “many potentials for major impacts,” and states the authors “advance several ideas as to why this application domain is receiving so much attention and why the construction industry will benefit.” These cues focus on drivers, benefits, and barriers to adoption rather than algorithmic development or performance benchmarking.",AI Adoption Factors,0.88,"Abstract surveys knowledge-based expert systems applied to construction, highlights potentials and few successes, summarizes developmental systems and their environments, and explicitly advances ideas why the construction industry is receiving attention and will benefit—focusing on drivers, opportunities, and benefits of AI adoption rather than algorithm development or performance benchmarking.",AI Adoption Factors,4.5,"The abstract discusses the potential application of ""knolwedge-based expert systems"" in construction, surveys developmental systems, and advances ideas on ""why this application domain is receiving so much attention and why the construction industry will benefit,"" which directly relates to the factors influencing AI adoption.",AI Adoption Factors,0.9,"The abstract discusses 'opportunities' for 'knowledge-based expert systems' (a form of AI) to 'impact both research and practice' in construction, highlights 'potentials for major impacts,' and explains 'why this application domain is receiving so much attention and why the construction industry will benefit from these developments.' This directly addresses factors influencing the adoption and perceived value of AI in the construction industry.",,Not Related,Majority 2-1,3,2
1714,,Not Related,Not Related,Not Related,Not Related,0.96,"The abstract discusses improving schedule performance in multiproject construction programs using management tools (Measures of Performance and schedule reasonableness guidelines). There is no mention of AI, machine learning, computational models, or smart systems applied to construction.",Not Related,0.96,"The abstract describes a management study to improve GPP schedule performance using Measures of Performance and schedule-reasonableness guidelines. It does not mention AI, machine learning, algorithms, or intelligent systems; the focus is on program management tools and scheduling practices rather than AI/ML methods or evaluation.",Not Related,5.0,"The abstract describes a study based on 'historical experiential data' to develop 'management tools' such as 'Measures of Performance' and 'guidelines' for improving schedule performance. There is no mention of Artificial Intelligence (AI), Machine Learning (ML), or any related algorithms or computational methods.",Not Related,1.0,"The abstract focuses on traditional project management, using historical data to develop 'Measures of Performance' and 'guidelines for assessing the reasonableness of project schedules' for 'General Plant Projects (GPP),' without any mention or implication of AI or ML. Therefore, it does not substantially address AI or ML applications in construction.",,Not Related,Majority 3-0,3,3
1715,,AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.84,"The abstract introduces a ""knowledge-based expert system"" designed to ""determine bid markup"" for construction contractors, highlighting suitability of expert systems and the judgment-intensive, unstructured nature of the task. This indicates development of an AI method tailored to a construction problem rather than adoption, performance benchmarking, or economic analysis.",AI Development and Methods,0.9,"Abstract describes developing a knowledge-based expert system to determine bid markup for contractors (explicitly an AI approach). It focuses on applying/implementing an expert system tailored to a construction problem, including justification for using such AI (extensive judgement, lack of formal structure).",AI Development and Methods,5.0,The abstract explicitly states its purpose is to 'present a knowledge-based expert system that determines bid markup.' This indicates a focus on developing an AI-based method (an expert system) tailored to a specific construction problem (bid markup determination).,AI Development and Methods,0.9,The abstract explicitly states 'The purpose of this article is to present a knowledge-based expert system that determines bid markup.' This indicates the paper is focused on designing or developing an AI system (knowledge-based expert system) tailored to a construction-related problem (bid markup determination).,,AI Development and Methods,Majority 3-0,3,3
1716,10.1061/(ASCE)0733-9364(1986)112:3(326),AI Adoption Factors,,,Uncertain,0.64,"The abstract is a workshop summary on future computerized construction research with broad themes (databases, knowledge-based systems, simulation, robotics) and mentions “artificial intelligence” among topics discussed, but provides no concrete AI/ML methods, adoption factors, performance evaluations, or economic analyses specific to construction. The relevance to AI in construction is general and high-level without implementation details.",AI Development and Methods,0.86,"The abstract is a workshop summary identifying research needs and strategic directions for computerized construction, explicitly highlighting technical areas such as artificial intelligence, knowledge-based systems, simulation, robotics, and integrated project databases. It focuses on advancing computational approaches and research agendas tailored to construction problems rather than adoption issues, evaluation/benchmarking, or economic impacts.",AI Adoption Factors,3.0,"The abstract summarizes a workshop aimed at creating a ""strategic plan of computerized construction research"" by identifying ""crucial research needs and most promising directions."" The focus on developing strategic plans, fostering cooperation, and identifying community-wide research directions relates to the high-level enablers and factors that will influence the future development and subsequent adoption of AI technologies in construction, rather than presenting a specific AI method itself.",AI Development and Methods,0.9,"The abstract outlines the 'crucial research needs and most promising directions for future computerized construction applications', including 'artificial intelligence', 'knowledge-based systems', and 'robotics'. It details a strategic plan for research in these areas over the next 5-10 years, which directly aligns with advancing AI/ML algorithms and computational approaches for construction.",,AI Adoption Factors,Single label,1,1
1717,,AI Development and Methods,Not Related,Not Related,Uncertain,0.66,The abstract focuses on modeling and computerized simulation for earthmoving optimization and mentions an “integrated intelligent simulator” and an “on-line control system” without specifying any AI/ML techniques. The use of the vague term “intelligent” and lack of explicit AI/ML methods make the AI relevance unclear.,AI Development and Methods,0.88,"Abstract describes an advanced computerized/’intelligent’ simulator and optimization method for earth-distribution planning, including modeling, simulation-based sensitivity analysis of fleet combinations and an integrated on-line control system—all indicating development of AI/computational methods tailored to construction problems.",AI Development and Methods,5.0,"The paper focuses on designing a new computational approach for a specific construction task, as it 'describes an advanced computerized method for designing an optimized earth distribution plan' and discusses 'the logic of an integrated intelligent simulator'.",Uncertain,0.8,"The abstract mentions an 'integrated intelligent simulator' but lacks specific details or keywords (e.g., machine learning, neural networks, deep learning) to confirm the use of Artificial Intelligence or Machine Learning. The methods described, such as 'computerized method', 'modeling and computerized simulation', and 'on-line control system', could be achieved without AI/ML, making the relevance to AI/ML unclear due to vague terminology.",,Not Related,Majority 2-1,3,2
1718,10.1061/(ASCE)0733-9364(1987)113:2(208),Not Related,Not Related,Not Related,Not Related,0.98,"The abstract discusses a survey of unionized construction workers, uses factor analysis to identify work crew functioning elements, and examines their relationships to motivation, performance, and job satisfaction. There is no mention of AI/ML methods, applications, or systems in construction; the focus is on management and organizational factors.",Not Related,0.94,"The abstract discusses a survey of unionized construction workers, factor analysis of crew functioning (effectiveness, openness, cohesion, goal clarity/difficulty), and relationships to motivation, performance, and job satisfaction. It focuses on crew management practices (planning, organizing, staffing, directing, controlling) with no mention of AI/ML methods, algorithms, or intelligent systems.",Not Related,5.0,"The abstract focuses entirely on human factors and organizational behavior, analyzing 'workers’ perceptions of their workcrews' using 'factor analysis'. There is no mention of artificial intelligence, machine learning, or any related computational methods.",Not Related,1.0,"The abstract focuses on surveying unionized construction workers to understand perceptions of work crew functioning, motivation, performance, and job satisfaction. It discusses traditional management principles ('planning, organizing, staffing, directing, and controlling') and uses 'factor analysis' for data analysis, none of which relate to Artificial Intelligence or Machine Learning.",,Not Related,Majority 3-0,3,3
1719,,,,,AI Development and Methods,0.77,"The proceedings emphasize applications and developments of AI-related systems (robotics and expert systems) tailored to offshore construction/engineering tasks, citing ""applications of robotics and expert systems for the design and manufacture or construction of offshore structures,"" and specific developments like an ""expert system for riser analysis"" and ""computer-based systems for the preliminary design of semisubmersibles."" These indicate method development and application of AI/ML-type systems in a construction context rather than adoption, evaluation, or economic impacts.",AI Development and Methods,0.9,"The abstract describes development and application of computational systems (robotics, expert systems, computer-based preliminary design, an expert system for riser analysis, and software for foundation calculation) for offshore construction engineering, indicating focus on AI/algorithmic methods rather than adoption, evaluation, or economic impacts.",AI Development and Methods,4.5,"The abstract explicitly mentions 'expert systems' which are a form of AI. The text highlights the 'developments of an expert system for riser analysis,' indicating a focus on creating or advancing AI methods for specific applications in offshore construction and engineering.",AI Development and Methods,0.9,"The abstract explicitly mentions 'expert systems' in the context of 'developments of an expert system for riser analysis' and 'applications of robotics and expert systems for the design and manufacture or construction'. Expert systems are a form of AI, and their development and application in construction-related problems (offshore structures) align with the 'designing, adapting, or advancing AI/ML algorithms' aspect of this category.",,,No label,0,0
1720,,,,,AI Development and Methods,0.7,"The abstract centers on expert systems (an AI approach), detailing components, architectures, languages/tools, and implementation issues, which are methodological topics. It explicitly lists a chapter on “expert systems in construction,” indicating construction-related AI application and method development.",AI Development and Methods,0.87,"Abstract focuses on expert system technology and applications—covering expert system components, architectures, languages/tools, and implementation issues—and specifically mentions expert systems in construction and related engineering domains, indicating development/adaptation of AI methods for construction problems.",AI Development and Methods,5.0,"The abstract describes a volume dedicated to 'Expert System Technology' and 'Expert System Applications'. It explicitly mentions topics such as 'expert system components', 'architectures', 'languages and tools for building expert systems', and 'implementation issues', which are core to the design and creation of AI systems. The specified application areas, including 'in construction', confirm that these methods are tailored for construction-related problems.",AI Development and Methods,0.95,"The abstract discusses 'Expert System Technology' and covers aspects such as 'expert system components, characteristics, some common expert systems architectures, languages and tools for building expert systems, implementation issues', which directly relate to the design and development of AI/ML methods. It also specifies applications including 'expert systems in construction'.",,,No label,0,0
1721,,,Not Related,Not Related,AI Development and Methods,0.74,"The abstract proposes creating a time/cost-integrated expert database and using it as the primary input to expert system users for project management, estimating, scheduling, risk management, resource management, and marketing strategy. The explicit focus on enabling expert systems (an AI approach) through a structured, construction-specific data architecture indicates a methodological development for AI application in construction.",AI Development and Methods,0.9,"Abstract describes creating a time/cost integrated, dynamic expert database and using it as input to expert system users for project management, estimating, scheduling, risk/resource management and marketing strategy—i.e., designing an AI/expert-system infrastructure and methods tailored to construction problems.",AI Development and Methods,4.5,"The abstract focuses on the development of a method for an AI application. It describes the process of 'creating a time/cost integrated, dynamic, accountable, comprehensive expert database' and 'utilizing this database as the major source of input to expert system users'. This is a clear description of a method for developing an AI system (an expert system) for construction-related problems such as 'project management, estimating, scheduling, risk management'.",Uncertain,0.8,"The abstract mentions 'expert system users' and an 'expert database' in the context of construction project management. While 'expert systems' are a form of AI, the paper focuses on the structure for collecting and utilizing integrated data for these systems, rather than detailing the design, methods, performance evaluation, adoption factors, or economic impacts of the AI/ML algorithms themselves. The specific AI/ML implementation details are insufficient, making its direct relevance to core AI categories unclear.",,Not Related,Majority 2-0,2,2
1722,,AI Economic and Business Impacts,Uncertain,Uncertain,AI Development and Methods,0.87,"The abstract discusses the technical aspects of expert systems (AI), including hardware and software requirements, and the applicability of rule-based systems specifically in engineering and construction, as well as describing specific systems developed at a construction engineering firm (SWEC). This indicates a focus on developing and implementing AI methods tailored to construction problems.",AI Development and Methods,0.88,"Abstract focuses on technical aspects of expert systems (rule-based systems), hardware/software implementation requirements, applicability in engineering/construction, and specific systems developed at SWEC—indicating development/adaptation of AI methods for construction rather than adoption, benchmarking, or economic analysis.",AI Development and Methods,4.5,"The abstract explicitly discusses the development and technical aspects of AI applications in construction, mentioning 'technical aspects of expert systems', 'hardware implementation requirements', 'software technologies', and 'specific systems developed' for the industry.",AI Development and Methods,0.9,"The abstract discusses the 'technical aspects of expert systems', 'hardware implementation requirements', 'current software technologies', and 'applicability of rule-based systems in engineering and construction', along with 'specific systems developed'. This focuses on the design, methods, and application of AI technologies (expert systems, rule-based systems) in the construction context.",,Uncertain,Majority 2-1,3,2
1723,,,Not Related,Not Related,Not Related,0.91,"The abstract discusses an object-oriented prototype for building design, scheduling, and cost estimating, emphasizing processes in an object-oriented programming environment without mentioning AI/ML methods, algorithms, or learning-based approaches. The focus is on system processes (conceptual design, scheduling, cost distribution) rather than AI development, adoption, evaluation, or economic impacts.",Not Related,0.87,"The abstract describes conceptual processes for design, scheduling, and cost estimating within an object-oriented programming environment and a prototype system (mentions 'object-oriented environment', 'prototype system', 'personal computer'). It does not mention AI, machine learning, intelligent systems, learning algorithms, or methods tailored for AI, so it does not substantially address AI/ML applications in construction.",Not Related,5.0,"The abstract describes the design of processes for building design, scheduling, and cost estimating within an 'object-oriented environment'. It does not mention artificial intelligence, machine learning, or any related algorithms. The focus is on a software engineering paradigm (object-oriented programming), not on AI methods.",Not Related,1.0,"The abstract describes a prototype system developed in an 'object-oriented programming environment' for building design, construction scheduling, and cost estimating. It does not mention AI, ML, or any related terms.",,Not Related,Majority 2-0,2,2
1724,,AI Adoption Factors,AI Development and Methods,AI Adoption Factors,AI Adoption Factors,0.79,"The abstract discusses the promise and suitability of knowledge-based expert systems for cost engineering, summarizes state of the art in construction, identifies “likely problem areas for profitable KBES treatment,” and provides “suggested means of initiating programs” for KBES applications. These cues indicate a focus on benefits, suitable application areas, and guidance for implementation—i.e., factors influencing adoption—rather than developing new algorithms or evaluating performance.",AI Development and Methods,0.92,"Abstract focuses on knowledge-based expert systems (KBES), a subcategory of AI, and discusses an overview/description of KBES, characteristics of problems suited to KBES, the state of the art of KBES development in construction, likely problem areas for KBES in cost engineering, and means to initiate KBES development—all indicating design/adaptation and development of AI methods for construction problems.",AI Adoption Factors,5.0,"The abstract focuses on the strategic implementation and potential benefits of AI, specifically knowledge-based expert systems (KBES), in cost engineering. It identifies 'likely problem areas for profitable KBES treatment' and provides 'suggested means of initiating programs for development,' which are key considerations for driving adoption rather than detailing the technical development of the AI itself.",AI Development and Methods,0.95,"The abstract provides an 'overview and description of KBES', discusses the 'state of the art of KBES development in the construction field', identifies 'likely problem areas for profitable KBES treatment', and suggests 'means of initiating programs for development of KBES applications'. This content directly relates to advancing AI methodologies and their tailored application in construction.",,AI Adoption Factors,Majority 2-1,3,2
